TIME_STEP,ASIN,UNITS_SOLD,GlanceViews,Business_Unit,DEAL_TYPE,SOA,EVENT,PEAK_EVENT_FLAG,NET_INVOICE,CountryCd,keepa_price,CTN,EVENT_TYPE,ITEM_ID,OrderedAmount
2023-01-14,B00151,21,96,Clothing,None,42.9751487812449,Holiday,1,119.6401349255734,DE,48.58666065555838,sku_0,Leadup Week,DE_sku_0,1020.319873766726
2023-12-20,B00192,19,120,Clothing,None,35.48925251119863,Cyber Monday,0,75.03046263005179,CA,98.44604044811712,sku_1,Regular Week,CA_sku_1,1870.4747685142252
2023-01-11,B00114,20,127,Home,Discount,24.11126151686633,Cyber Monday,0,25.936010324882297,DE,42.282260611544196,sku_2,Brand Week,DE_sku_2,845.6452122308839
2021-03-04,B00171,36,151,Books,Discount,26.016181309569287,Cyber Monday,1,198.63275585534274,FR,39.41806609600899,sku_3,Spring Sales,FR_sku_3,1419.0503794563238
2023-10-10,B00160,52,225,Clothing,BOGO,48.76222676419793,Regular,0,34.16466619017707,CA,35.26741527185217,sku_4,Leadup Week,CA_sku_4,1833.905594136313
2021-01-01,B00120,31,210,Electronics,Promotion,,Black Friday,0,23.746192928850895,FR,90.00117599270082,sku_5,Brand Week,FR_sku_5,2790.0364557737257
2021-02-25,B00182,12,112,Home,None,10.763452289291713,Holiday,1,176.92084234935962,UK,52.18876347932693,sku_6,Spring Sales,UK_sku_6,626.2651617519232
2023-06-02,B00186,15,98,Clothing,None,40.55522831526591,Black Friday,1,67.34858556965008,FR,62.001375360660376,sku_7,Brand Week,FR_sku_7,930.0206304099056
2023-04-05,B00174,13,89,Books,None,9.86213330835084,Cyber Monday,1,133.55642507396647,DE,22.177755505227527,sku_8,Leadup Week,DE_sku_8,288.3108215679579
2022-08-25,B00174,32,222,Clothing,BOGO,10.67687389419757,Cyber Monday,0,72.51108863582425,UK,56.38952420046805,sku_9,Spring Sales,UK_sku_9,1804.4647744149777
2020-02-07,B00187,32,91,Toys,None,33.80465170822884,Black Friday,1,84.37631145094952,CA,31.091578322506386,sku_10,Regular Week,CA_sku_10,994.9305063202044
2020-10-20,B00199,36,178,Electronics,Promotion,,Black Friday,0,59.801464683191334,CA,74.41050751997336,sku_11,Brand Week,CA_sku_11,2678.7782707190413
2022-01-19,B00123,33,160,Home,Discount,46.57722035532601,Holiday,1,75.17836110067194,DE,84.09019313527631,sku_12,Leadup Week,DE_sku_12,2774.9763734641183
2023-03-16,B00102,67,250,Toys,BOGO,4.4504867448004415,Cyber Monday,0,88.0330761114432,US,72.90701575247137,sku_13,Regular Week,US_sku_13,4884.770055415582
2020-11-11,B00121,39,124,Books,Discount,25.576282040474652,Black Friday,0,146.87905312754515,US,74.37319579567445,sku_14,Leadup Week,US_sku_14,2900.5546360313033
2020-10-01,B00152,23,89,Toys,None,45.92607652215606,Regular,0,107.19187690461044,CA,53.685096891354114,sku_15,Brand Week,CA_sku_15,1234.7572285011447
2020-06-14,B00101,26,92,Toys,None,45.205683023975254,Cyber Monday,1,189.2773912598256,DE,72.65121535174285,sku_16,Leadup Week,DE_sku_16,1888.931599145314
2022-11-22,B00187,15,85,Books,None,7.8264606707870605,Cyber Monday,1,17.957274829367346,US,45.15525887327523,sku_17,Spring Sales,US_sku_17,677.3288830991285
2021-03-17,B00129,44,200,Toys,Promotion,18.331885004822823,Holiday,1,105.58298130008535,FR,66.89146958531325,sku_18,Leadup Week,FR_sku_18,2943.224661753783
2020-01-17,B00137,24,184,Home,Promotion,30.956070002334812,Regular,0,121.00270987802645,CA,29.608724961448893,sku_19,Brand Week,CA_sku_19,710.6093990747734
2021-04-14,B00101,50,242,Clothing,BOGO,7.969744238570109,Holiday,1,184.83742735411204,FR,11.626916169640964,sku_20,Spring Sales,FR_sku_20,581.3458084820481
2021-03-15,B00163,35,154,Toys,Discount,48.40110860228693,Regular,1,19.34011948807124,DE,44.27996009158701,sku_21,Leadup Week,DE_sku_21,1549.7986032055453
2020-05-15,B00159,13,97,Home,None,45.737466436383016,Holiday,0,118.96492113769105,FR,48.86892479914655,sku_22,Leadup Week,FR_sku_22,635.2960223889052
2023-06-08,B00120,16,101,Clothing,None,8.347508951723459,Regular,0,172.18968642031183,US,29.358680027925548,sku_23,Spring Sales,US_sku_23,469.73888044680876
2020-10-08,B00132,24,106,Clothing,None,6.057773063049271,Regular,1,55.96626834265495,US,74.13240424868758,sku_24,Regular Week,US_sku_24,1779.1777019685019
2023-10-18,B00175,26,100,Toys,None,4.270424140413265,Regular,1,176.49554621954812,UK,11.987295502746523,sku_25,Regular Week,UK_sku_25,311.6696830714096
2020-07-19,B00157,28,226,Home,Promotion,45.472183201831555,Black Friday,1,13.618247762115447,CA,26.161090816022913,sku_26,Spring Sales,CA_sku_26,732.5105428486415
2021-05-21,B00121,27,151,Toys,Discount,9.681190489773039,Cyber Monday,0,149.16637953540865,DE,76.11364825309455,sku_27,Leadup Week,DE_sku_27,2055.068502833553
2022-11-09,B00188,47,154,Books,Discount,20.814246427217736,Regular,1,187.2915120220441,CA,46.526806005301175,sku_28,Regular Week,CA_sku_28,2186.7598822491555
2023-02-20,B00148,52,237,Clothing,BOGO,22.44256828260015,Black Friday,0,134.86755571161183,FR,72.00194428373469,sku_29,Spring Sales,FR_sku_29,3744.1011027542036
2021-11-20,B00190,41,212,Toys,Promotion,29.950552210678378,Black Friday,0,93.41555635628511,DE,58.911158389441646,sku_30,Brand Week,DE_sku_30,2415.3574939671075
2021-01-27,B00158,15,97,Clothing,None,3.5867671873712483,Holiday,1,18.527393129816424,DE,95.31771124974944,sku_31,Leadup Week,DE_sku_31,1429.7656687462415
2022-10-15,B00141,26,135,Home,Discount,11.337930870025797,Cyber Monday,1,184.82162453129948,US,61.790604108669136,sku_32,Brand Week,US_sku_32,1606.5557068253975
2021-12-23,B00191,32,147,Electronics,Discount,,Cyber Monday,0,99.35628231139921,FR,6.412552562824372,sku_33,Leadup Week,FR_sku_33,205.2016820103799
2020-05-27,B00159,46,218,Toys,Promotion,45.420505363428475,Holiday,0,15.509381423830122,US,38.52334829791173,sku_34,Regular Week,US_sku_34,1772.0740217039397
2023-12-01,B00179,61,247,Toys,BOGO,39.06453237028461,Cyber Monday,1,141.06600355246476,US,18.59076480944723,sku_35,Brand Week,US_sku_35,1134.036653376281
